global_key,paper_key,name,gender
aaai,conf/aaai/AraiMXS16,Crystal Maung,F
aaai,conf/aaai/AraiXMS16,Crystal Maung,F
aaai,conf/aaai/ArseneauSZC00,Wei Sun,F
aaai,conf/aaai/AshooriBW16,Maryam Ashoori,F
aaai,conf/aaai/AsuncionLZZ10,Yi Zhou,F
aaai,conf/aaai/AsuncionZZ12,Yi Zhou,F
aaai,conf/aaai/AtkinsonB07,Katie Atkinson,F
aaai,conf/aaai/AuN06,Dana S. Nau,F
aaai,conf/aaai/AuSS11,Neda Shahidi,F
aaai,conf/aaai/AumannHKS08,Sarit Kraus,F
aaai,conf/aaai/Avrahami-ZilberbrandK07,Dorit Avrahami-Zilberbrand,F
aaai,conf/aaai/AydinYLLGD14,Jing Gao,F
aaai,conf/aaai/AzariaAK12,Sarit Kraus,F
aaai,conf/aaai/AzariaGGK14,Sarit Kraus,F
aaai,conf/aaai/AzariaHKEWN13,Sarit Kraus,F
aaai,conf/aaai/AzariaK13,Sarit Kraus,F
aaai,conf/aaai/AzariaKGT14,Sarit Kraus,F
aaai,conf/aaai/AzariaRKG11,Sarit Kraus,F
aaai,conf/aaai/AzariaRKG11a,Sarit Kraus,F
aaai,conf/aaai/AzariaRKGG12,Sarit Kraus,F
aaai,conf/aaai/AzariaRKGG12a,Sarit Kraus,F
aaai,conf/aaai/AzimiFFBCFLJS10,Xiaoli Fern,F
aaai,conf/aaai/AzizBCEFW15,Edith Elkind,F
aaai,conf/aaai/AzizCGKMW15,Casey Cahan,F
aaai,conf/aaai/AzizGMNW13,Nina Narodytska,F
aaai,conf/aaai/BaaderLMSW05,Maja Milicic,F
aaai,conf/aaai/BacchusDTK14,Jessica Davies,F
aaai,conf/aaai/BachmanP11,Doina Precup,F
aaai,conf/aaai/BachrachBF10,Nadja Betzler,F
aaai,conf/aaai/BackstromCJOS12,Yue Chen,F
aaai,conf/aaai/BagherinezhadHC16,Hannaneh Hajishirzi,F
aaai,conf/aaai/BahamonBY15,Camille Barot,F
aaai,conf/aaai/BaierFBM08,Sheila A. McIlraith,F
aaai,conf/aaai/BaierM06,Sheila A. McIlraith,F
aaai,conf/aaai/BalabanovJJW15,Magdalena Widl,F
aaai,conf/aaai/BalachandranA16,Ella Atkins,F
aaai,conf/aaai/BalkanskiBKP14,Simina Brânzei,F
aaai,conf/aaai/BanerjeeMDSN15,Bonny Banerjee,F
aaai,conf/aaai/BanerjeeP04,Jing Peng,F
aaai,conf/aaai/BanerjeeP05,Jing Peng,F
aaai,conf/aaai/BanerjeeRGEKD16,Sindhu K. Ernala,F
aaai,conf/aaai/BaoFZ14,Hui Fang 0002,F
aaai,conf/aaai/BaoSH07,Jie Bao,F
aaai,conf/aaai/BaoVSH08,Jie Bao,F
aaai,conf/aaai/BaptistaFPPY14,Márcia Baptista,F
aaai,conf/aaai/BarberAFGGHLMPV04,Karen Fullam,F
aaai,conf/aaai/BarberGHKLLMM00,Joonee Kim,F
aaai,conf/aaai/BarbuPZ13,Maria Pavlovskaia,F
aaai,conf/aaai/BarbulescuWH04,Laura Barbulescu,F
aaai,conf/aaai/BarbulescuWW00,Laura Barbulescu,F
aaai,conf/aaai/BareinboimP11,Judea Pearl,F
aaai,conf/aaai/BareinboimP12,Judea Pearl,F
aaai,conf/aaai/BareinboimP13,Judea Pearl,F
aaai,conf/aaai/BareinboimTP14,Judea Pearl,F
aaai,conf/aaai/BarishKCMPS00,Yi-Shin Chen,F
aaai,conf/aaai/BarkerACFFGHHIKMPPTY07,Shaw Yi Chaw,F
aaai,conf/aaai/BarkerCCCHJMPPSW07,Shaw Yi Chaw,F
aaai,conf/aaai/BarnesGFD15,Madalina Fiterau,F
aaai,conf/aaai/BarretoBPP16,Doina Precup,F
aaai,conf/aaai/BarrettS15a,Maria Barrett,F
aaai,conf/aaai/BarrettSKR13,Sarit Kraus,F
aaai,conf/aaai/BarriosSGMMPT15,Mariana Munguía,F
aaai,conf/aaai/BartoliniLMB12,Andrea Bartolini,F
aaai,conf/aaai/BarzilayCHW00,Regina Barzilay,F
aaai,conf/aaai/BasakMHMJMA16,Jayasudha Jayakumaran,F
aaai,conf/aaai/BasharuAA05,Inés Arana,F
aaai,conf/aaai/BasilicoG11,Nicola Basilico,F
aaai,conf/aaai/BasilicoGV10,Nicola Basilico,F
aaai,conf/aaai/BasilicoNG16,Nicola Basilico,F
aaai,conf/aaai/BasuBK16,Satabdi Basu,F
aaai,conf/aaai/BasuC13,Janara Christensen,F
aaai,conf/aaai/BasuFDL10,Danyel Fisher,F
aaai,conf/aaai/BaumelCE16,Tal Baumel,F
aaai,conf/aaai/BayerSC06,Berthe Y. Choueiry,F
aaai,conf/aaai/BealLL10,Alice Leung,F
aaai,conf/aaai/BealQL06,Carole R. Beal,F
aaai,conf/aaai/BeamerRG08,Alla Rozovskaya,F
aaai,conf/aaai/BeaudryBCRLKM05,Carle Côté,F
aaai,conf/aaai/BeckWB00,Carole R. Beal,F
aaai,conf/aaai/BeckerMC07,Hila Becker,F
aaai,conf/aaai/BeheshtiAS15,Awrad Mohammed Ali,F
aaai,conf/aaai/BehpourZ15,Sima Behpour,F
aaai,conf/aaai/BeiCGHS16,Xiaohui Bei,F
aaai,conf/aaai/BeiCHTY12,Xiaohui Bei,F
aaai,conf/aaai/BejanH08,Sanda M. Harabagiu,F
aaai,conf/aaai/BejarFMMSV12,Francina Sole-Mauri,F
aaai,conf/aaai/BellSB00,Ann M. Bell,F
aaai,conf/aaai/BelleBP16,Andrea Passerini,F
aaai,conf/aaai/BelloniBBBBCCEG15,Aline Belloni,F
aaai,conf/aaai/Belov05,Nadya Belov,F
aaai,conf/aaai/BelovS05,Nadya Belov,F
aaai,conf/aaai/Ben-Eliyahu-Zohary00,Rachel Ben-Eliyahu-Zohary,F
aaai,conf/aaai/BenabbouP15,Nawal Benabbou,F
aaai,conf/aaai/BenferhatS05,Salma Smaoui,F
