paper_key,l0,global_key
conf/aaai/AndersonA11,0,aaai
conf/aaai/AndersonA14,0,aaai
conf/aaai/AndersonA15,0,aaai
conf/aaai/AndersonAA06,0,aaai
conf/aaai/AndersonAB16,0,aaai
conf/aaai/AndersonALMMRR00,1,aaai
conf/aaai/AndersonB07,0,aaai
conf/aaai/AndersonBCDDHKKLMMNPPRSTUVW05,1,aaai
conf/aaai/AndersonBCDGKKMMNPRSSTUUW04,1,aaai
conf/aaai/AndersonMP16,1,aaai
conf/aaai/AnderssonA15,1,aaai
conf/aaai/AnderssonHD15,0,aaai
conf/aaai/AndreR02,0,aaai
conf/aaai/AndreevskaiaB06,0,aaai
conf/aaai/Andrews05,0,aaai
conf/aaai/AndrewsHT02,1,aaai
conf/aaai/AndrewsL02,0,aaai
conf/aaai/AngelopoulosLH08,0,aaai
conf/aaai/Angiulli06,0,aaai
conf/aaai/AngrykB04,0,aaai
conf/aaai/AnkeSRN16,0,aaai
conf/aaai/AnsariCBSJ14,1,aaai
conf/aaai/Anshelevich00,0,aaai
conf/aaai/AnshelevichBP15,1,aaai
conf/aaai/AnshelevichCDG13,1,aaai
conf/aaai/AnshelevichS14,1,aaai
conf/aaai/AnshelevichS16,1,aaai
conf/aaai/AnsoteguiBFGM06,1,aaai
conf/aaai/AnsoteguiBFM07,1,aaai
conf/aaai/AnsoteguiBFM08,1,aaai
conf/aaai/AnsoteguiBL10,0,aaai
conf/aaai/AnsoteguiBLM07,1,aaai
conf/aaai/AnsoteguiBLM08,1,aaai
conf/aaai/AnsoteguiGS05,0,aaai
conf/aaai/AnsoteguiMS14,0,aaai
conf/aaai/AnsoteguiVDFM04,1,aaai
conf/aaai/Anthony08,0,aaai
conf/aaai/Anthonyd07,0,aaai
conf/aaai/AntoniouBGM00,0,aaai
conf/aaai/AntosMGG11,0,aaai
conf/aaai/AntosP08,0,aaai
conf/aaai/AnwarB14,1,aaai
conf/aaai/AoneRN00,1,aaai
conf/aaai/AppleCCDFGKLSS11,1,aaai
conf/aaai/ApselB12,0,aaai
conf/aaai/ApselKM14,0,aaai
conf/aaai/ApselKM14a,0,aaai
conf/aaai/AraiMS15,1,aaai
conf/aaai/AraiMXS16,1,aaai
conf/aaai/AraiXMS16,1,aaai
conf/aaai/ArakiMHT14,1,aaai
conf/aaai/Arandjelovic15,1,aaai
conf/aaai/AraujoL08,0,aaai
conf/aaai/ArayaTN10,0,aaai
conf/aaai/ArefT15,0,aaai
conf/aaai/ArefT16,0,aaai
conf/aaai/ArivazhaganCR16,1,aaai
conf/aaai/Armstrong-CrewsM05,0,aaai
conf/aaai/Armstrong15,0,aaai
conf/aaai/ArmstrongO07,0,aaai
conf/aaai/ArmstrongO08,0,aaai
conf/aaai/AroraRKS11,1,aaai
conf/aaai/AroraRS10,1,aaai
conf/aaai/ArringtonLB16,0,aaai
conf/aaai/ArseneauSZC00,1,aaai
conf/aaai/ArtaleCKZ07,0,aaai
conf/aaai/ArtaleKRZ10,0,aaai
conf/aaai/ArtaleKRZ15,0,aaai
conf/aaai/ArveloBV06,1,aaai
conf/aaai/AsadiH05,1,aaai
conf/aaai/AsaiF16,1,aaai
conf/aaai/AshlagiLT13,1,aaai
conf/aaai/AshlagiMT07,1,aaai
conf/aaai/AshlagiTZ10,1,aaai
conf/aaai/AshooriBW16,1,aaai
conf/aaai/AsmuthLZ08,1,aaai
conf/aaai/AsuncionLZZ10,1,aaai
conf/aaai/AsuncionZZ12,1,aaai
conf/aaai/AtkinsonB07,0,aaai
conf/aaai/AttenbergIP11,0,aaai
conf/aaai/AuN06,1,aaai
conf/aaai/AuS10,1,aaai
conf/aaai/AuSS11,1,aaai
conf/aaai/AudemardKS10,0,aaai
conf/aaai/AumannHKS08,1,aaai
conf/aaai/AustinKB08,0,aaai
conf/aaai/AustinKB08a,0,aaai
conf/aaai/Avanzato05,0,aaai
conf/aaai/Avrahami-ZilberbrandK07,1,aaai
